-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 06/01/2025 in LST
Location: Latitude  39.6067   Longitude -105.8778 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2931.16 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (W m-2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR
2020,1,1,0,0.0,-11.43,77.8,1.15
2020,1,1,1,0.0,-11.1,80.29,1.46
2020,1,1,2,0.0,-10.93,81.41,1.22
2020,1,1,3,0.0,-10.96,82.04,1.35
2020,1,1,4,0.0,-10.33,82.37,5.56
2020,1,1,5,0.0,-9.13,83.69,1.09
2020,1,1,6,0.0,-8.2,84.51,1.43
2020,1,1,7,11.48,-7.54,83.94,0.99
2020,1,1,8,111.43,-6.93,82.88,1.04
2020,1,1,9,257.52,-5.2,80.8,0.85
2020,1,1,10,345.55,-3.49,78.68,0.95
2020,1,1,11,195.77,-2.75,76.13,1.28
2020,1,1,12,361.8,-2.43,74.22,2.54
2020,1,1,13,392.27,-2.49,74.09,5.38
2020,1,1,14,295.25,-3.35,76.02,6.26
2020,1,1,15,146.62,-4.59,79.63,3.59
2020,1,1,16,25.35,-5.83,81.36,0.76
2020,1,1,17,0.0,-6.79,82.22,0.5
2020,1,1,18,0.0,-7.62,83.09,1.35
2020,1,1,19,0.0,-8.44,84.33,3.07
2020,1,1,20,0.0,-8.75,83.98,3.36
2020,1,1,21,0.0,-9.11,83.13,2.13
2020,1,1,22,0.0,-9.74,82.84,1.6
2020,1,1,23,0.0,-10.3,83.06,1.32
2020,1,2,0,0.0,-10.69,83.66,1.42
